,Word,Times_Used
8503,kindness,4
8502,labor,4
8501,"""don’t",4
8500,"line,",4
8499,fringe,4
8498,president?,4
8497,he’d,4
8496,laws.,4
8495,other.,4
8494,safe.,4
8493,helps,4
8492,jobs.,4
8491,temperamentally,4
8490,knock,4
8489,vote:…,4
8488,openly,4
8487,spend,4
8486,@voxdotcom:,4
8485,century,4
8484,simply,4
8483,19th,4
8482,"@hillaryclinton,",4
8481,"country.""",4
8480,charitable,4
8479,w…,4
8478,facts.,4
8477,service.,4
8476,supposed,4
8475,least,4
8474,funding,4
8473,seeking,4
8472,nothing.,4
8471,comparing,4
8470,nation's,4
8469,zero,4
8468,starting,4
8467,lifetime,4
8466,politicians,4
8465,struggling,4
8464,offered,4
8463,august,4
8462,reading,4
8461,seat,4
8460,morning,4
8459,"clinton,",4
8458,track,4
8457,10,4
8456,american.,4
8455,darn,4
8454,nyt,4
8453,troops,4
8452,https://t.co/iwkboe1i18,4
8451,father,4
8450,education.,4
8449,for.,4
8448,states:,4
8447,"states,",4
8446,background,4
8445,facts,4
8444,programs,4
8443,thoughts,4
8442,generals,4
8441,"debt,",4
8440,dog,4
8439,medical,4
8438,breaking:,4
8437,taught,4
8436,commander-in-chief.”,4
8435,internet,4
8434,captain,4
8433,"like,",4
8432,universal,4
8431,–,4
8430,there.,4
8429,lincoln,4
8428,historic,4
8427,@flotus.,4
8426,—hillary:,4
8425,cut.,4
8424,began,4
8423,dems,4
8422,harder,4
8421,"supremacists,",4
8420,diversity,4
8419,quit,4
8418,tiene,4
8417,admit,4
8416,htt…,4
8415,immigrant,4
8414,prayers,4
8413,earned,4
8412,prouder,4
8411,clinton's,4
8410,university,4
8409,"muslims,",4
8408,"""to",4
8407,returns.,4
8406,valores,4
8405,ignorant,4
8404,lying,4
8403,fear.,4
8402,https://t.co/vkvm51nwiy,4
8401,@joebiden,4
8400,"everybody,",4
8399,dangerous.,4
8398,lawyers,4
8397,governor,4
8396,like.,4
8395,likes,4
8394,years.,4
8393,“it,4
8392,experienced,4
8391,7,4
8390,safety,4
8389,america:,4
8388,"house,",4
8387,más,4
8386,ceo,4
8385,month,4
8384,you:,4
8383,central,4
8382,using,4
8381,—@repjohnlewis,4
8380,blame,4
8379,"friends,",4
8378,disabilities.,4
8377,steady,4
8376,price,4
8375,(and,4
8374,$15,4
8373,happen,4
8372,birthday!,4
8371,@hillaryforoh:,4
8370,sacrifice,4
8369,clue,4
8368,turns,4
8367,becoming,4
8366,prisoners,4
8365,pays,4
8364,putin.,4
8363,months,4
8362,rnc,4
8361,attacked,4
8360,depends,4
8359,notion,4
8358,interests,4
8357,barrier,4
8356,humayun,4
8355,bank,4
8354,lifelong,4
8353,mayor,4
8352,order,4
8351,interview,4
8350,indiana,4
8349,vote!,4
8348,tickets,4
8347,again.,4
8346,details,4
8345,commitment,4
8344,gained,4
8343,passion,4
8342,government,4
8341,winning,4
8340,drug,4
8339,familias,4
8338,fact,4
8337,clearly,4
8336,owner,4
8335,david,4
