,Word,Times_Used
8410,beating,4
8409,asking,4
8408,"country,",4
8407,jose,4
8406,hispanic,4
8405,concerning,4
8404,@timkaine,4
8403,clue.,4
8402,dope!,4
8401,guy.,4
8400,hrc,4
8399,"@nydailynews,",4
8398,enjoyed,4
8397,claims,4
8396,forced,4
8395,"""clinton",4
8394,can’t,4
8393,$50,4
8392,classified,4
8391,"greensboro,",4
8390,core,4
8389,"pittsburgh,",4
8388,'clinton,4
8387,hillary?,4
8386,https://t.…,4
8385,vote.,4
8384,delegate,4
8383,"party,",4
8382,"in,",4
8381,official,4
8380,expand,4
8379,vs,4
8378,drug,4
8377,trump:,4
8376,nuclear,4
8375,defending,4
8374,roberts,4
8373,steel,4
8372,"book,",4
8371,truth,4
8370,receive,4
8369,led,4
8368,"china,",4
8367,sent,4
8366,beginning.,4
8365,terrorists,4
8364,palm,4
8363,senate,4
8362,funny,4
8361,"
#votetrump",4
